UID,Text,Parent UID,Parent Text,Hierarchy Path
"Ei_mBxoOS","When I create a receipt for an appointment that is not completed, the amount must not be included in Appointment Revenue.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I create a receipt for an appointment that is not completed, the amount must not be included in Appointment Revenue."
"ntKhaZVna","When I create a receipt for an appointment with completed status and receipt creation date is today, the amount must be included under Appointment Revenue when I apply the Today filter.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I create a receipt for an appointment with completed status and receipt creation date is today, the amount must be included under Appointment Revenue when I apply the Today filter."
"9gAULll5l","When an appointment was scheduled for October 1 but its receipt was created on September 25, if I apply the Today filter on September 25, the amount must appear under Appointment Revenue.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When an appointment was scheduled for October 1 but its receipt was created on September 25, if I apply the Today filter on September 25, the amount must appear under Appointment Revenue."
"JvP5UVwX8","When I apply the Last Month filter on October 1, the same appointment must still appear under Appointment Revenue for September because its receipt was created in September.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I apply the Last Month filter on October 1, the same appointment must still appear under Appointment Revenue for September because its receipt was created in September."
"PZBy6gtJN","When I apply the Today filter on October 1, that appointment must not be included because the receipt was created in September.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I apply the Today filter on October 1, that appointment must not be included because the receipt was created in September."
"gPFJpXMTt","When I create a receipt for a product and its receipt creation date falls in the selected date range, the amount must be included under Product Revenue.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I create a receipt for a product and its receipt creation date falls in the selected date range, the amount must be included under Product Revenue."
"vqZoaGvxU","When I create a receipt for a product today, the amount must be included under Product Revenue when I apply the Today filter.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I create a receipt for a product today, the amount must be included under Product Revenue when I apply the Today filter."
"STzzhspAx","When I create a receipt for a product in September and apply the Last Month filter on October 1, the amount must be included under Product Revenue for September.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I create a receipt for a product in September and apply the Last Month filter on October 1, the amount must be included under Product Revenue for September."
"4zSomOpzC","When I generate invoices for products or appointments but do not generate receipts, no revenue must be shown in the pie chart, because only receipt creation date is considered.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I generate invoices for products or appointments but do not generate receipts, no revenue must be shown in the pie chart, because only receipt creation date is considered."
"qADzLKl-V","When I generate direct receipts for products, those amounts must be reflected in Product Revenue as per the receipt creation date.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I generate direct receipts for products, those amounts must be reflected in Product Revenue as per the receipt creation date."
"qYnJ52iQ7","When I generate direct receipts for completed appointments, those amounts must be reflected in Appointment Revenue as per the receipt creation date.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I generate direct receipts for completed appointments, those amounts must be reflected in Appointment Revenue as per the receipt creation date."
"7DRqfMRBJ","When I generate receipts across multiple dates, the pie chart must split amounts correctly into their respective date ranges when I apply filters like Today, Last Week, Last Month, or Prior Year.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I generate receipts across multiple dates, the pie chart must split amounts correctly into their respective date ranges when I apply filters like Today, Last Week, Last Month, or Prior Year."
"ao0FwhH2_","When I apply the Facility filter, the pie chart must show only Appointment Revenue and Product Revenue generated by receipts linked to that facility.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I apply the Facility filter, the pie chart must show only Appointment Revenue and Product Revenue generated by receipts linked to that facility."
"jFOog5zE6","When I apply the Provider filter, the pie chart must show only Appointment Revenue generated by receipts for completed appointments linked to that provider.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I apply the Provider filter, the pie chart must show only Appointment Revenue generated by receipts for completed appointments linked to that provider."
"52GvPbdxL","When I apply a combination of Facility and Provider filters, the pie chart must reflect only the Appointment Revenue and Product Revenue for the selected facility and provider.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I apply a combination of Facility and Provider filters, the pie chart must reflect only the Appointment Revenue and Product Revenue for the selected facility and provider."
"VW_uobG_L","When I validate the pie chart percentages, the total Appointment Revenue + Product Revenue must equal 100%.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I validate the pie chart percentages, the total Appointment Revenue + Product Revenue must equal 100%."
"_v7Gx4a3Z","When no receipts exist in the selected date range, both Appointment Revenue and Product Revenue must be zero in the pie chart.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When no receipts exist in the selected date range, both Appointment Revenue and Product Revenue must be zero in the pie chart."
"iZpsWPfTE","When I create receipts for both appointments and products on the same day, applying the Today filter must split the percentages correctly based on their respective amounts.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I create receipts for both appointments and products on the same day, applying the Today filter must split the percentages correctly based on their respective amounts."
"Ljqnj-SLJ","When I view the Revenue Source Analytics pie chart by default, it must show YTD revenue split between Appointment Revenue and Product Revenue using receipt creation date, excluding receipts in Bad Debt.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I view the Revenue Source Analytics pie chart by default, it must show YTD revenue split between Appointment Revenue and Product Revenue using receipt creation date, excluding receipts in Bad Debt."
"62fSrmfE7","When I generate a receipt for a completed appointment and later move its receipt to Bad Debt, the corresponding revenue must be removed from Appointment Revenue in the pie chart.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I generate a receipt for a completed appointment and later move its receipt to Bad Debt, the corresponding revenue must be removed from Appointment Revenue in the pie chart."
"YtqkCLSod","When I generate a receipt for a product and later move its receipt to Bad Debt, the corresponding revenue must be removed from Product Revenue in the pie chart.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I generate a receipt for a product and later move its receipt to Bad Debt, the corresponding revenue must be removed from Product Revenue in the pie chart."
"zxLLUD7yQ","When I move an appointment Receipt from Bad Debt back to Billing, Whose Appointment status is in completed the amount must reappear in Appointment Revenue.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I move an appointment Receipt from Bad Debt back to Billing, Whose Appointment status is in completed the amount must reappear in Appointment Revenue."
"59r9lku31","When I move a product Receipt from Bad Debt back to Billing the amount must reappear in Product Revenue.","_kcIe3v4i","Test cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Revenue Source Analytics Graph > Screen 1: > Test cases > When I move a product Receipt from Bad Debt back to Billing the amount must reappear in Product Revenue."
"YzJwUegE5","When I land on the Dashboard Analytics tab, then by default the Earned Revenue card must show the sum of the “Grand Total (Incl. tax)” from all completed appointments, cancelled appointments with fees, no-show appointments with fees, and product sales within the YTD date range, including both invoices and receipts irrespective of payment status. #Manual","mlSu6Eee-","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Earned Revenue > Screen 1 > Test Cases > When I land on the Dashboard Analytics tab, then by default the Earned Revenue card must show the sum of the “Grand Total (Incl. tax)” from all completed appointments, cancelled appointments with fees, no-show appointments with fees, and product sales within the YTD date range, including both invoices and receipts irrespective of payment status. #Manual"
"28713GT1I","When I change the date filter to **Today**, then the Earned Revenue card must show the sum of the “Grand Total (Incl. tax)” from all completed appointments, cancelled appointments with fees, no-show appointments with fees, and product sales for today only, including both paid and unpaid invoices/receipts. #Manual","mlSu6Eee-","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Earned Revenue > Screen 1 > Test Cases > When I change the date filter to **Today**, then the Earned Revenue card must show the sum of the “Grand Total (Incl. tax)” from all completed appointments, cancelled appointments with fees, no-show appointments with fees, and product sales for today only, including both paid and unpaid invoices/receipts. #Manual"
"bunpbdida","When I change the date filter to **Last Week**, then the Earned Revenue card must show the sum of the “Grand Total (Incl. tax)” for all completed appointments, cancelled appointments with fees, no-show appointments with fees, and product sales during last week only. #Manual","mlSu6Eee-","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Earned Revenue > Screen 1 > Test Cases > When I change the date filter to **Last Week**, then the Earned Revenue card must show the sum of the “Grand Total (Incl. tax)” for all completed appointments, cancelled appointments with fees, no-show appointments with fees, and product sales during last week only. #Manual"
"wxEM1EXYo","When I change the date filter to **Last Month**, then the Earned Revenue card must display the correct sum for that month across all appointments and product sales irrespective of invoice/receipt payment status. #Manual","mlSu6Eee-","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Earned Revenue > Screen 1 > Test Cases > When I change the date filter to **Last Month**, then the Earned Revenue card must display the correct sum for that month across all appointments and product sales irrespective of invoice/receipt payment status. #Manual"
"aSM4etOzb","When I change the date filter to **Prior Year**, then the Earned Revenue card must display the correct sum of earned revenue only for that year. #Manual","mlSu6Eee-","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Earned Revenue > Screen 1 > Test Cases > When I change the date filter to **Prior Year**, then the Earned Revenue card must display the correct sum of earned revenue only for that year. #Manual"
"sjSeVYnry","When I select a **Facility** from the facility dropdown, then the Earned Revenue card must calculate the sum of “Grand Total (Incl. tax)” only for completed appointments, cancelled appointments with fees, no-shows with fees, and product sales linked to that selected facility during the chosen date range. #Manual","mlSu6Eee-","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Earned Revenue > Screen 1 > Test Cases > When I select a **Facility** from the facility dropdown, then the Earned Revenue card must calculate the sum of “Grand Total (Incl. tax)” only for completed appointments, cancelled appointments with fees, no-shows with fees, and product sales linked to that selected facility during the chosen date range. #Manual"
"DsosFJEd_","When I select a **Provider** from the provider dropdown, then the Earned Revenue card must calculate the sum of “Grand Total (Incl. tax)” only for appointments and product sales linked to the selected provider during the chosen date range. #Manual","mlSu6Eee-","Test Cases","CodeGen/TestSuite:: for p/Client/Kinergy/Kinergy > ### TestType/Web > Admin Portal > Dashboard > Dashboard Analytics > Earned Revenue > Screen 1 > Test Cases > When I select a **Provider** from the provider dropdown, then the Earned Revenue card must calculate the sum of “Grand Total (Incl. tax)” only for appointments and product sales linked to the selected provider during the chosen date range. #Manual"
